customer_in_new_file,unique_customer_id,customer_name__c,check_out_customer__c,grade_family__c,grade_name__c,avg_net_weight,daily_loads,current_inventory,productusage,product_delivery_location__c_id
1,001d000000JTa4aAAD,Koenen Dairy,12/18/2018 16:56,OneTrak,T6097,60212.85047,1,115.5485113,19.44847855,a0fd000000P4dL8AAJ
1,001d000000JTa4zAAD,Grande Vida LLC,12/19/2018 17:45,OneTrak,T7995,49878.52535,1,101.1878828,43.26452889,a0f0V00000QdDHjQAN
1,001d000000JTa8MAAT,"Rogers & Sons, Ltd.",12/17/2018 18:26,RAMP,R4000,54550.12987,1,65.7960285,19.89742198, 
1,001d000000JTa8MAAT,"Rogers & Sons, Ltd.",12/19/2018 19:00,SB Plus,V0492,54133.50427,3,94.11659462,69.48212936, 
1,001d00000102KubAAE,Faria Brothers - Heifer,12/19/2018 13:31,Sweet Bran,SB60,54384.28521,1,70.77936073,27.74452652,a0fd000000Ey0SuAAJ
1,001d000001QLNS6AAP,Texico Jerseys LLC,12/19/2018 1:57,OneTrak,T7995,49739.45679,1,57.32227924,18.02678072,a0f0V00000Q3uhBQAR
1,001d000001iSxhXAAS,Kelly Hills Dairy Inc.,12/17/2018 19:38,OneTrak,T6082,51663.47826,1,47.92210014,11.52510144,a0fd000000MVi4OAAT
1,001d000001j58iXAAQ,New Balance Commodities-Carson Feeders Inc,12/19/2018 14:15,SB Plus,V5145,60180.83333,1,46.14309382,7.55531793, 
1,001d000001j5wZ2AAI,New Balance Commodities-NVF CO. LLC,12/14/2018 11:47,Sweet Bran,SB60,60513.95349,1,36.38421128,4.75394693,a0fd000000F1TnDAAV
1,001d000001mMpbMAAS,Rottinghaus Holstein Farm Inc.,12/19/2018 18:36,OneTrak,T6100,51025.36913,1,47.30992202,7.529991783,a0f0V00000QbPFCQA3
1,001d000001pvabaAAA,CanTex Feeders LP,12/19/2018 14:42,RAMP,R3000,54767.82895,1,30.34137688,6.773241414,a0f0V00000PPw5GQAT
1,001d000001pvabaAAA,CanTex Feeders LP,12/19/2018 13:07,SB Plus,V0450,54445.58939,2,121.1959191,93.73688798,a0fd000000OMx4VAAT
1,001d000001rmMtAAAU,Peterson Place-Andrew Sunderman Acct,12/18/2018 15:33,Sweet Bran,SB60,60765.35211,1,37.91919075,10.52323614,a0fd000000HvIjHAAV
1,001d000001sQNU9AAO,Faria Southside 1,12/19/2018 2:57,Sweet Bran,SB60,54549.21473,2,69.4226312,56.91306939,a0fd000000I0A1yAAF
1,001d000001wseX3AAI,M Farm Inc,12/19/2018 18:34,Sweet Bran,SB60,60220.3252,1,43.83022883,12.98004576,a0fd000000IwyA0AAJ
1,001d000001wwiCbAAI,Daryl & Craig Deters,12/12/2018 16:50,OneTrak,T6070,51748.68421,1,30.48033872,4.143234943,a0fd000000Jd3dUAAR
1,001d00000227fHeAAI,Faria Brothers Hartley,12/19/2018 18:20,Sweet Bran,SB60,54028.6153,5,229.0481615,166.4961173,a0fd000000LKuXVAA1
1,001d0000024IYakAAG,Centerfire Feedyard,12/15/2018 13:33,RAMP,R4000,50717.40791,1,157.5203079,15.89183361,a0fd000000LdbfKAAR
1,001d0000026wgrvAAA,Dalhart Cattle Feeders,12/19/2018 18:34,Sweet Bran,SB60,54052.94863,8,81.07942294,202.6985574,a0fd000000MVgqxAAD
1,001d000002AJDz2AAH,Tejas Feeders West,12/19/2018 2:46,RAMP,R3000,54662.31047,2,54.50685711,44.71712328,a0fd000000P6NxCAAV
1,001d000002AKdMxAAL,Cactus Feedyard Early Settlers Farms LLC,12/17/2018 8:03,RAMP,R4000,54350.9375,1,60.48402893,1.432551739,a0fd000000POBS3AAP
